"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","Int","Sk","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"1",1,5,"JAX","Jalen Ramsey","CB",21,2020,37,65,2016,6.83,73,33.375,209,9.5,4.41,14,41.5,135,6.94,6,7,16,1,1,9,12,2,41,"Florida St.",225,3.46153846153846,NA,0.153846153846154,10,NA,122,59,15.5,5,3,58,0,22,2,4,2.97560975609756,1.4390243902439,4.41463414634146,0.378048780487805,0.121951219512195,0.536585365853659,0.0975609756097561,0.0731707317073171,9.25
"2",1,10,"NYG","Eli Apple","CB",21,2020,16,56,2016,5.68,73,31.375,199,9.375,4.4,13,NA,NA,NA,10,6,20,NA,NA,NA,NA,NA,28,"Ohio St.",197,3.51785714285714,NA,0.0535714285714286,3,NA,56,30,7.5,0,4,16,0,17,2,1,2,1.07142857142857,3.07142857142857,0.267857142857143,0,0.607142857142857,0.0357142857142857,0.142857142857143,4
"3",1,11,"TAM","Vernon Hargreaves","CB",21,2020,13,46,2016,6.7,70,30.625,204,8.75,4.5,15,39,130,NA,31,19,13,4,3,NA,4,NA,NA,"Florida",179,3.89130434782609,NA,0.0434782608695652,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25
"4",1,24,"CIN","William Jackson","CB",23,2020,11,50,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Houston",98,1.96,0.02,0.06,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
"5",1,25,"PIT","Artie Burns","CB",21,2019,14,58,2016,5.77,72,33.25,193,9.5,4.46,NA,31.5,NA,NA,6,9,NA,30,NA,NA,NA,NA,34,"Miami (FL)",121,2.08620689655172,NA,0.0689655172413793,4,NA,65,28,3,2,7,37,0,14,1,1,1.91176470588235,0.823529411764706,2.73529411764706,0.0882352941176471,0.0588235294117647,0.411764705882353,0.0294117647058824,0.205882352941176,3.5
"6",2,38,"MIA","Xavien Howard","CB",23,2020,19,45,2016,NA,72,31.25,201,9.125,4.58,11,33,122,7.18,16,25,22,26,16,19,10,NA,29,"Baylor",115,2.55555555555556,0.0222222222222222,0.333333333333333,15,1,84,14,5.5,1.5,10,121,0,23,1,1,2.89655172413793,0.482758620689655,3.37931034482759,0.189655172413793,0.0517241379310345,0.793103448275862,0.0344827586206897,0.344827586206897,4.75
"7",2,54,"MIN","Mackensie Alexander","CB",22,2020,7,58,2016,6.22,70,31.375,190,9.125,NA,11,NA,NA,NA,16,NA,22,NA,NA,NA,NA,NA,23,"Clemson",91,1.56896551724138,0.0775862068965517,0.0344827586206897,2,4.5,33,11,4,0,0,0,0,11,1,0,1.43478260869565,0.478260869565217,1.91304347826087,0.173913043478261,0,0.478260869565217,0,0,1.75
"8",2,58,"PIT","Sean Davis","CB",22,2020,16,52,2016,5.4,73,31.375,201,9.5,4.46,21,37.5,126,6.64,6,9,1,7,5,1,3,10,38,"Maryland",190,3.65384615384615,0.0480769230769231,0.0961538461538462,5,2.5,221,98,10,2.5,5,98,0,14,2,7,5.81578947368421,2.57894736842105,8.39473684210526,0.263157894736842,0.0657894736842105,0.368421052631579,0.184210526315789,0.131578947368421,4
"9",2,60,"NWE","Cyrus Jones","CB",22,2019,4,31,2016,5.4,70,31.375,197,9.125,4.49,10,33,116,6.71,16,14,25,26,27,2,17,NA,15,"Alabama",11,0.354838709677419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10",2,62,"CAR","James Bradberry","CB",23,2020,20,65,2016,4.93,73,33.375,211,9.125,4.5,16,36,124,6.91,16,19,11,12,7,7,17,9,1,"Samford",236,3.63076923076923,0.0461538461538462,0.138461538461538,9,3,1,0,0,0,NA,NA,NA,0,0,0,1,0,1,0,0,0,0,NA,5
