"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"1",1,3,"SDG","Joey Bosa","DE",21,2020,32,56,2016,6.76,77,33.375,269,10.25,4.86,24,32,120,6.89,7,13,9,14,5,2,2,NA,38,"Ohio St.",159,NA,44,2.83928571428571,0.785714285714286,NA,101,47,51,26,1,28,0,6,2,5,2.65789473684211,1.23684210526316,3.89473684210526,1.34210526315789,0.684210526315789,0.157894736842105,0.131578947368421,0.0263157894736842,8
"2",1,7,"SFO","DeForest Buckner","DE",22,2020,37,68,2016,7.32,79,34.375,291,11.75,5.05,NA,32,116,7.51,1,25,NA,14,11,21,13,NA,NA,"Oregon",179,NA,30,2.63235294117647,0.441176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25
"3",1,19,"BUF","Shaq Lawson","DE",22,2020,11,54,2016,6.21,75,32.75,269,10,4.7,NA,33,120,7.16,14,4,NA,10,5,8,2,NA,40,"Clemson",66,NA,17.5,1.22222222222222,0.324074074074074,NA,67,56,45.5,20,0,0,0,1,0,1,1.675,1.4,3.075,1.1375,0.5,0.025,0.025,0,2.75
"4",2,32,"CLE","Emmanuel Ogbah","DE",22,2020,19,55,2016,6.17,76,35.5,273,10,4.63,20,35.5,121,7.26,14,2,18,2,3,11,14,NA,39,"Oklahoma St.",100,NA,21,1.81818181818182,0.381818181818182,NA,95,38,35.5,26.5,0,0,0,9,2,5,2.43589743589744,0.974358974358974,3.41025641025641,0.91025641025641,0.67948717948718,0.230769230769231,0.128205128205128,0,4.75
"5",2,33,"TEN","Kevin Dodd","DE",24,2017,2,18,2016,6.33,77,34,277,10,4.86,NA,NA,NA,NA,14,13,NA,NA,NA,NA,NA,NA,21,"Clemson",9,NA,1,0.5,0.0555555555555556,NA,55,27,26.5,12.5,0,0,0,0,1,1,2.61904761904762,1.28571428571429,3.9047619047619,1.26190476190476,0.595238095238095,0,0.0476190476190476,0,0.5
"6",2,39,"TAM","Noah Spence","DE",22,2019,5,41,2016,6.11,74,33,251,10.75,4.8,25,35,121,7.21,3,8,6,4,3,9,7,NA,16,"East. Kentucky",24,NA,7.5,0.585365853658537,0.182926829268293,NA,31,31,15,8.5,0,0,0,3,1,1,1.9375,1.9375,3.875,0.9375,0.53125,0.1875,0.0625,0,1.25
"7",2,42,"BAL","Kamalei Correa","DE",22,2020,10,57,2016,5.59,75,31.625,243,9.375,4.69,21,33,108,NA,28,3,15,10,25,NA,NA,NA,37,"Boise St.",53,NA,8.5,0.929824561403509,0.149122807017544,NA,69,41,31.5,20,0,0,0,2,0,5,1.86486486486486,1.10810810810811,2.97297297297297,0.851351351351351,0.540540540540541,0.0540540540540541,0.135135135135135,0,2.5
"8",2,44,"OAK","Jihad Ward","DE",22,2020,9,46,2016,5.57,77,33.875,297,9.375,5.11,20,25,111,7.38,28,28,18,27,20,16,23,NA,24,"Illinois",27,NA,5,0.58695652173913,0.108695652173913,NA,47,57,13,5.5,0,0,0,3,5,4,1.95833333333333,2.375,4.33333333333333,0.541666666666667,0.229166666666667,0.125,0.166666666666667,0,2.25
"9",3,65,"CLE","Carl Nassib","DE",23,2020,15,64,2016,5.61,79,34.5,277,10.375,4.84,21,28.5,114,7.27,5,12,15,25,14,13,8,NA,22,"Penn St.",86,NA,18.5,1.34375,0.2890625,NA,45,19,24,17.5,1,10,0,2,0,7,2.04545454545455,0.863636363636364,2.90909090909091,1.09090909090909,0.795454545454545,0.0909090909090909,0.318181818181818,0.0454545454545455,3.75
"10",3,69,"JAX","Yannick Ngakoue","DE",21,2020,33,68,2016,5.39,74,32.5,252,9.5,4.75,26,34.5,118,7.35,24,7,4,7,10,15,14,NA,30,"Maryland",115,2,42.5,1.69117647058824,0.625,0.0294117647058824,57,26,32,21,1,3,0,3,0,2,1.9,0.866666666666667,2.76666666666667,1.06666666666667,0.7,0.1,0.0666666666666667,0.0333333333333333,8.25
"11",3,70,"BAL","Bronson Kaufusi","DE",25,2019,2,9,2016,5.55,78,34.5,285,9.75,4.87,25,30,111,7.03,20,16,6,20,20,5,4,NA,43,"BYU",4,NA,0.5,0.444444444444444,0.0555555555555556,NA,112,63,43.5,25.5,2,22,1,14,1,6,2.6046511627907,1.46511627906977,4.06976744186047,1.01162790697674,0.593023255813954,0.325581395348837,0.13953488372093,0.0465116279069767,0.5
