"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"1",1,12,"NOR","Sheldon Rankins","DT",22,2020,15,56,2016,6.18,73,33.375,299,9.375,5.03,28,34.5,118,7.44,23,11,5,3,1,3,9,NA,40,"Louisville",69,1,17,1.23214285714286,0.303571428571429,0.0178571428571429,72,61,31.5,18,2,9,0,4,2,2,1.8,1.525,3.325,0.7875,0.45,0.1,0.05,0.05,3.75
"2",1,27,"GNB","Kenny Clark","DT",20,2020,28,61,2016,5.89,75,32.125,314,10.5,5.06,29,28.5,102,NA,1,2,3,2,2,NA,1,NA,NA,"UCLA",113,NA,16.5,1.85245901639344,0.270491803278689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"3",1,29,"ARI","Robert Nkemdiche","DT",21,2019,6,29,2016,6.32,75,33.875,294,10.75,4.87,28,35,116,NA,2,2,5,1,3,NA,NA,NA,29,"Mississippi",26,NA,4.5,0.896551724137931,0.155172413793103,NA,41,40,16,6,0,0,0,3,0,0,1.41379310344828,1.37931034482759,2.79310344827586,0.551724137931034,0.206896551724138,0.103448275862069,0,0,1.5
"4",1,30,"CAR","Vernon Butler","DT",22,2020,7,56,2016,6.15,76,35.125,323,10.75,5.33,26,29.5,104,7.82,2,22,9,13,16,14,17,NA,37,"Louisiana Tech",44,NA,8,0.785714285714286,0.142857142857143,NA,87,81,28.5,5,0,0,0,3,2,1,2.35135135135135,2.18918918918919,4.54054054054054,0.77027027027027,0.135135135135135,0.0810810810810811,0.027027027027027,0,1.75
"5",2,37,"KAN","Chris Jones","DT",22,2020,28,65,2016,6.2,78,34.5,310,10.75,5.03,26,24.5,106,7.44,2,11,9,22,14,3,11,NA,38,"Mississippi St.",108,2,36.5,1.66153846153846,0.561538461538462,0.0307692307692308,42,60,18,8.5,0,0,0,10,0,0,1.10526315789474,1.57894736842105,2.68421052631579,0.473684210526316,0.223684210526316,0.263157894736842,0,0,7
"6",2,46,"DET","A'Shawn Robinson","DT",21,2019,19,58,2016,6.59,76,34.5,307,10.5,5.2,22,26,106,7.8,6,19,17,20,14,13,15,NA,39,"Alabama",120,1,5,2.06896551724138,0.0862068965517241,0.0172413793103448,51,82,22,9,0,0,0,5,1,1,1.30769230769231,2.1025641025641,3.41025641025641,0.564102564102564,0.230769230769231,0.128205128205128,0.0256410256410256,0,4.75
"7",2,49,"SEA","Jarran Reed","DT",23,2020,23,61,2016,6.19,75,33.375,307,10.5,5.21,NA,31,104,7.77,6,20,NA,9,16,11,16,NA,28,"Alabama",90,NA,16.5,1.47540983606557,0.270491803278689,NA,39,72,11,2,0,0,0,7,1,0,1.39285714285714,2.57142857142857,3.96428571428571,0.392857142857143,0.0714285714285714,0.25,0,0,5.75
"8",2,63,"DEN","Adam Gotsis","DT",23,2020,15,62,2016,5.5,76,34.125,287,10.75,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,32,"Georgia Tech",75,NA,5,1.20967741935484,0.0806451612903226,NA,67,38,26,11.5,2,2,0,4,2,0,2.09375,1.1875,3.28125,0.8125,0.359375,0.125,0,0.0625,3.75
"9",3,67,"DAL","Maliek Collins","DT",21,2020,25,65,2016,5.6,74,33.125,311,9.5,5.03,25,29.5,109,7.53,21,11,12,13,10,7,5,NA,32,"Nebraska",56,NA,14.5,0.861538461538462,0.223076923076923,NA,37,49,21.5,8,0,0,0,1,0,1,1.15625,1.53125,2.6875,0.671875,0.25,0.03125,0.03125,0,6.25
"10",3,72,"CHI","Jonathan Bullard","DT",22,2020,8,56,2016,6.08,75,33.625,285,10,4.93,23,32,116,7.31,11,4,15,7,3,1,8,NA,49,"Florida",60,NA,3.5,1.07142857142857,0.0625,NA,92,83,34,12,0,0,0,5,0,0,1.87755102040816,1.69387755102041,3.57142857142857,0.693877551020408,0.244897959183673,0.102040816326531,0,0,2
"11",3,80,"BUF","Adolphus Washington","DT",21,2018,9,35,2016,5.6,75,34.5,301,9.875,5.17,21,27,99,8.06,14,17,19,19,21,19,18,NA,40,"Ohio St.",38,NA,4.5,1.08571428571429,0.128571428571429,NA,71,71,25,13.5,1,20,1,4,1,3,1.775,1.775,3.55,0.625,0.3375,0.1,0.075,0.025,2.25
"12",3,89,"PIT","Javon Hargrave","DT",23,2020,25,67,2016,5.23,73,32,309,9.625,4.93,29,34.5,109,7.9,17,4,3,3,10,15,13,NA,NA,"South Carolina St.",107,NA,15.5,1.59701492537313,0.23134328358209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25
"13",3,96,"NWE","Vincent Valentine","DT",22,2018,3,16,2016,5.22,76,33.125,329,9.625,5.19,17,29,110,8.03,17,18,21,15,8,18,9,NA,30,"Nebraska",11,NA,1,0.6875,0.0625,NA,36,40,14.5,7,0,0,0,2,0,1,1.2,1.33333333333333,2.53333333333333,0.483333333333333,0.233333333333333,0.0666666666666667,0.0333333333333333,0,0.75
"14",4,103,"JAX","Sheldon Day","DT",22,2019,6,56,2016,5.55,73,32.625,293,9.625,5.07,21,30,102,7.44,17,15,19,12,19,3,4,NA,41,"Notre Dame",38,NA,6,0.678571428571429,0.107142857142857,NA,91,50,32,7.5,0,0,0,8,2,2,2.21951219512195,1.21951219512195,3.4390243902439,0.780487804878049,0.182926829268293,0.195121951219512,0.0487804878048781,0,1.5
"15",4,116,"IND","Hassan Ridgeway","DT",21,2020,8,46,2016,6.17,75,33,303,9.375,5.02,24,32,113,8.28,23,9,13,7,5,20,19,NA,30,"Texas",29,NA,7.5,0.630434782608696,0.16304347826087,NA,62,46,17.5,9.5,0,0,0,0,2,0,2.06666666666667,1.53333333333333,3.6,0.583333333333333,0.316666666666667,0,0,0,2
"16",4,120,"NOR","David Onyemata","DT",23,2020,13,67,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manitoba",79,NA,11.5,1.17910447761194,0.171641791044776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25
"17",4,132,"BAL","Willie Henry","DT",22,2018,4,17,2016,6.05,75,33.375,303,10.875,5,28,30.5,110,7.57,1,8,5,10,8,8,7,NA,31,"Michigan",26,NA,4.5,1.52941176470588,0.264705882352941,NA,40,45,18,9.5,1,7,1,2,0,0,1.29032258064516,1.45161290322581,2.74193548387097,0.580645161290323,0.306451612903226,0.0645161290322581,0,0.032258064516129,1
"18",5,147,"SEA","Quinton Jefferson","DT",23,2020,12,44,2016,5.13,76,33.375,291,8.875,4.95,24,29,NA,7.95,27,6,13,15,NA,17,2,NA,34,"Maryland",41,NA,8.5,0.931818181818182,0.193181818181818,NA,52,55,21.5,10.5,2,0,0,1,2,3,1.52941176470588,1.61764705882353,3.14705882352941,0.632352941176471,0.308823529411765,0.0294117647058824,0.0882352941176471,0.0588235294117647,3
"19",5,152,"WAS","Matthew Ioannidis","DT",22,2020,17,57,2016,5.57,75,32.375,299,10.125,5.03,32,28,108,7.78,9,11,2,18,13,12,14,NA,NA,"Temple",89,NA,22,1.56140350877193,0.385964912280702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25
"20",6,202,"DET","Anthony Zettel","DT",24,2019,9,49,2016,5.32,76,31.125,277,9.5,4.81,28,30.5,109,7.63,21,1,5,10,10,9,3,NA,45,"Penn St.",51,NA,7.5,1.04081632653061,0.153061224489796,NA,70,49,38,20,4,70,1,14,2,2,1.55555555555556,1.08888888888889,2.64444444444444,0.844444444444444,0.444444444444444,0.311111111111111,0.0444444444444444,0.0888888888888889,2.25
