"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"1",1,9,"CHI","Leonard Floyd","OLB",23,2020,27,59,2016,6.52,78,33.125,244,10.125,4.6,NA,39.5,127,NA,5,5,NA,2,3,NA,NA,NA,37,"Georgia",115,1,20.5,1.94915254237288,0.347457627118644,0.0169491525423729,90,92,26.5,17,0,0,0,4,2,5,2.43243243243243,2.48648648648649,4.91891891891892,0.716216216216216,0.459459459459459,0.108108108108108,0.135135135135135,0,6.75
"2",2,52,"ATL","Deion Jones","OLB",21,2020,27,58,2016,5.56,73,32.375,222,9.25,4.59,NA,33,120,NA,21,4,NA,11,8,NA,NA,NA,30,"LSU",289,9,2.5,4.98275862068965,0.0431034482758621,0.155172413793103,79,85,21,5,2,26,1,4,1,1,2.63333333333333,2.83333333333333,5.46666666666667,0.7,0.166666666666667,0.133333333333333,0.0333333333333333,0.0666666666666667,6.75
"3",3,87,"CIN","Nick Vigil","ILB",23,2020,17,58,2016,5.37,74,32.375,239,10.25,4.72,NA,31.5,115,6.73,2,3,NA,5,6,1,1,NA,40,"Utah St.",186,2,2,3.20689655172414,0.0344827586206897,0.0344827586206897,160,179,40,17.5,2,19,0,5,2,6,4,4.475,8.475,1,0.4375,0.125,0.15,0.05,4.25
"4",3,88,"GNB","Kyler Fackrell","OLB",24,2020,10,66,2016,5.94,77,33.25,245,10.125,4.72,15,34.5,121,NA,5,10,17,6,5,NA,NA,NA,41,"Utah St.",93,1,18.5,1.40909090909091,0.28030303030303,0.0151515151515152,104,149,36,13,4,125,1,1,5,4,2.53658536585366,3.63414634146341,6.17073170731707,0.878048780487805,0.317073170731707,0.024390243902439,0.0975609756097561,0.0975609756097561,2.5
"5",4,113,"CHI","Nick Kwiatkoski","ILB",23,2020,15,60,2016,5.1,74,31.75,243,9.5,4.73,19,32,120,7.16,11,5,6,3,2,3,3,NA,40,"West Virginia",147,1,6,2.45,0.1,0.0166666666666667,200,95,28.5,6,6,13,0,10,2,3,5,2.375,7.375,0.7125,0.15,0.25,0.075,0.15,3.75
"6",4,125,"IND","Antonio Morrison","ILB",21,2018,13,47,2016,5.37,73,30.375,232,9,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,38,"Florida",124,NA,1,2.63829787234043,0.0212765957446809,NA,132,155,20,4.5,1,20,0,2,1,3,3.47368421052632,4.07894736842105,7.55263157894737,0.526315789473684,0.118421052631579,0.0526315789473684,0.0789473684210526,0.0263157894736842,3.25
"7",5,160,"MIN","Kentrell Brothers","OLB",23,2019,4,51,2016,5.82,72,30.75,245,9.75,4.89,19,28.5,110,6.99,11,18,8,20,20,1,1,NA,42,"Missouri",41,NA,1,0.803921568627451,0.0196078431372549,NA,184,173,23.5,4.5,5,39,0,11,0,4,4.38095238095238,4.11904761904762,8.5,0.55952380952381,0.107142857142857,0.261904761904762,0.0952380952380952,0.119047619047619,1
"8",6,194,"OAK","Cory James","OLB",23,2017,7,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"Colorado St.",78,NA,NA,3,NA,NA,114,115,41.5,24,0,0,0,3,0,4,2.28,2.3,4.58,0.83,0.48,0.06,0.08,0,1.75
"9",6,208,"NWE","Kamu Grugier-Hill","OLB",22,2020,11,59,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"East. Illinois",89,1,2,1.50847457627119,0.0338983050847458,0.0169491525423729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
"10",6,220,"PIT","Travis Feeney","OLB",23,NA,NA,NA,2016,5.11,76,33.375,230,9.5,4.5,NA,40,130,7.2,16,2,NA,1,2,10,7,3,51,"Washington",NA,NA,NA,NA,NA,NA,168,80,33.5,15.5,4,148,1,11,2,4,3.29411764705882,1.56862745098039,4.86274509803922,0.656862745098039,0.303921568627451,0.215686274509804,0.0784313725490196,0.0784313725490196,NA
"11",7,222,"TEN","Aaron Wallace","OLB",23,2018,1,13,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"UCLA",12,NA,1,0.923076923076923,0.0769230769230769,NA,49,43,13,7,0,0,0,1,0,1,1.68965517241379,1.48275862068966,3.17241379310345,0.448275862068966,0.241379310344828,0.0344827586206897,0.0344827586206897,0,0.25
"12",7,246,"PIT","Tyler Matakevich","OLB",23,2020,5,68,2016,5.25,72,31.25,238,9.5,4.81,22,31,112,7.19,16,17,4,13,18,9,10,NA,48,"Temple",63,NA,NA,0.926470588235294,NA,NA,338,155,40.5,7,7,94,0,11,4,4,7.04166666666667,3.22916666666667,10.2708333333333,0.84375,0.145833333333333,0.229166666666667,0.0833333333333333,0.145833333333333,1.25
"13",7,251,"PHI","Joe Walker","ILB",23,2020,7,44,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"Oregon",52,NA,NA,1.18181818181818,NA,NA,120,85,16,5,1,0,0,1,2,0,3.15789473684211,2.23684210526316,5.39473684210526,0.421052631578947,0.131578947368421,0.0263157894736842,0,0.0263157894736842,1.75
"14",2,47,"BAL","Tyus Bowser","OLB",22,2020,6,52,2017,5.62,75,33.25,247,10.125,4.65,21,37.5,127,6.75,NA,NA,NA,NA,NA,NA,NA,NA,43,"Houston",45,1,10.5,0.865384615384615,0.201923076923077,0.0192307692307692,70,67,28,22.5,2,14,0,9,2,3,1.62790697674419,1.55813953488372,3.18604651162791,0.651162790697674,0.523255813953488,0.209302325581395,0.0697674418604651,0.0465116279069767,2
"15",2,49,"WAS","Ryan Anderson","OLB",23,2020,5,48,2017,5.89,74,31.5,253,9.375,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"Alabama",52,NA,6,1.08333333333333,0.125,NA,68,60,39.5,19,1,26,1,3,6,6,1.54545454545455,1.36363636363636,2.90909090909091,0.897727272727273,0.431818181818182,0.0681818181818182,0.136363636363636,0.0227272727272727,1.66666666666667
