"","Rnd","NFLINTTD","NFLYPA","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","NFL.att.pg","NFL.comp.pg","NFL.passint.pg","NFL.passtd.pg","NFL.passing.pg","Passing Cmp","Passing Att","Passing Yds","Passing TD","Passing Int","Rushing Att","Rushing Yds","College/Univ","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College.Completions","College.Passing.Attempts","College.Completion.Rate","College.Passing.Yards","College.Yards.Per.Attempt","College.Adjusted.YPA","College.Passing.Touchdowns","College.Passing.Interceptions","College.Passer.Rating","college.passing.pg","college.att.pg","college.comp.pg","college.passtd.pg","college.passint.pg","ValuePerYear"
"1",1,2.11111111111111,7.71449777337951,1,"LAR","Jared Goff","QB",21,2020,41,59,34.2542372881356,21.6101694915254,0.76271186440678,1.61016949152542,264.254237288136,1275,2021,15591,95,45,131,244,"California",2016,6.73,76,32.75,215,9,4.82,NA,27,110,7.17,16,11,NA,17,12,9,NA,NA,37,977,1568,62.3,12195,7.8,8.1,96,30,144,329.594594594595,42.3783783783784,26.4054054054054,2.59459459459459,0.810810810810811,10.25
"2",1,2.34090909090909,6.83511111111111,2,"PHI","Carson Wentz","QB",23,2020,42,61,36.8852459016393,23.4098360655738,0.721311475409836,1.68852459016393,252.114754098361,1428,2250,15379,103,44,229,907,"North Dakota St.",2016,6.23,77,33.25,237,10,4.77,NA,30.5,118,6.86,6,2,NA,12,2,3,NA,NA,42,392,612,64.1,5115,8.4,8.8,45,14,153.9,121.785714285714,14.5714285714286,9.33333333333333,1.07142857142857,0.333333333333333,10.5
"3",1,1,6.1875,26,"DEN","Paxton Lynch","QB",22,2017,2,5,25.6,15.8,0.8,0.8,158.4,79,128,792,4,4,16,55,"Memphis",2016,6.49,79,34.25,244,10.25,4.86,NA,36,118,7.14,4,14,NA,1,2,8,NA,NA,38,758,1205,62.9,8863,7.4,7.5,59,23,137,233.236842105263,31.7105263157895,19.9473684210526,1.55263157894737,0.605263157894737,0.5
"4",2,NA,NA,51,"NYJ","Christian Hackenberg","QB",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penn St.",2016,5.61,76,32,223,9,4.78,NA,31,114,7.04,16,4,NA,9,7,5,NA,NA,38,693,1235,56.1,8457,6.8,6.5,48,31,121.4,222.552631578947,32.5,18.2368421052632,1.26315789473684,0.815789473684211,NA
"5",3,2.38461538461538,6.59754851889683,91,"NWE","Jacoby Brissett","QB",23,2020,23,40,24.475,14.65,0.325,0.775,161.475,586,979,6459,31,13,144,564,"North Carolina St.",2016,5.5,76,32.25,231,9.75,4.94,NA,31,113,7.17,8,16,NA,9,9,9,NA,NA,39,499,839,59.5,5723,6.8,7.1,46,15,131.3,146.74358974359,21.5128205128205,12.7948717948718,1.17948717948718,0.384615384615385,5.75
"6",3,1.6,6.34670487106017,93,"CLE","Cody Kessler","QB",23,2018,5,17,20.5294117647059,13.1764705882353,0.294117647058824,0.470588235294118,130.294117647059,224,349,2215,8,5,31,140,"USC",2016,5.41,73,32.625,220,10.875,4.89,NA,29.5,104,7.32,1,15,NA,13,16,14,NA,NA,51,851,1261,67.5,10339,8.2,8.9,88,19,156.4,202.725490196078,24.7254901960784,16.6862745098039,1.72549019607843,0.372549019607843,1.25
"7",4,1,7.14285714285714,100,"OAK","Connor Cook","QB",23,2016,0,1,21,14,1,1,150,14,21,150,1,1,0,0,"Michigan St.",2016,5.85,76,33,217,9.75,4.79,NA,33,113,7.21,8,6,NA,4,9,12,NA,NA,43,673,1170,57.5,9194,7.9,8.2,71,22,139.8,213.813953488372,27.2093023255814,15.6511627906977,1.65116279069767,0.511627906976744,0
"8",4,2.65,7.69036197121675,135,"DAL","Dak Prescott","QB",23,2020,56,69,33.231884057971,21.9420289855072,0.579710144927536,1.53623188405797,255.565217391304,1514,2293,17634,106,40,259,1314,"Mississippi St.",2016,5.38,74,32.25,226,10.875,4.79,NA,32.5,116,7.11,1,6,NA,5,5,7,NA,NA,49,734,1169,62.8,9376,8,8.3,70,23,146,191.34693877551,23.8571428571429,14.9795918367347,1.42857142857143,0.469387755102041,14
"9",4,0,8.72727272727273,139,"BUF","Cardale Jones","QB",23,2016,0,1,11,6,1,0,96,6,11,96,0,1,1,-1,"Ohio St.",2016,5.44,77,33.75,253,9.75,4.81,NA,36,NA,NA,8,10,NA,1,NA,NA,NA,NA,23,166,269,61.7,2322,8.6,8.6,15,7,147.4,100.95652173913,11.695652173913,7.21739130434783,0.652173913043478,0.304347826086957,0
"10",5,0.571428571428571,6.14851485148515,162,"KAN","Kevin Hogan","QB",23,2017,2,8,12.625,7.5,0.875,0.5,77.625,60,101,621,4,7,18,176,"Stanford",2016,5.06,75,32.375,218,10.25,4.78,NA,32.5,113,6.9,4,4,NA,5,9,4,NA,NA,51,727,1103,65.9,9385,8.5,8.7,75,29,154.6,184.019607843137,21.6274509803922,14.2549019607843,1.47058823529412,0.568627450980392,0.5
"11",6,Inf,6.24,187,"WAS","Nate Sudfeld","QB",22,2018,1,3,8.33333333333333,6.66666666666667,0,0.333333333333333,52,20,25,156,1,0,3,20,"Indiana",2016,5.27,78,34.25,234,9.875,NA,NA,29,105,NA,7,NA,NA,15,15,NA,NA,NA,38,593,983,60.3,7879,8,8.3,61,20,144.1,207.342105263158,25.8684210526316,15.6052631578947,1.60526315789474,0.526315789473684,0.25
"12",6,0,4.8,191,"DET","Jake Rudock","QB",23,2017,0,3,1.66666666666667,1,0.333333333333333,0,8,3,5,24,0,1,0,0,"Michigan",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,666,1080,61.7,7836,7.3,7.1,54,27,134.1,206.210526315789,28.4210526315789,17.5263157894737,1.42105263157895,0.710526315789474,0
"13",6,1.5,6.13095238095238,201,"JAX","Brandon Allen","QB",24,2019,2,3,28,13,0.666666666666667,1,171.666666666667,39,84,515,3,2,10,39,"Arkansas",2016,5.39,73,31.25,217,8.875,4.84,NA,28,110,7.06,18,13,NA,16,12,6,NA,NA,42,583,1016,57.4,7463,7.3,7.5,64,26,134.8,177.690476190476,24.1904761904762,13.8809523809524,1.52380952380952,0.619047619047619,0.5
"14",6,1.625,6.14492753623188,207,"SFO","Jeff Driskel","QB",23,2020,5,15,23,13.4666666666667,0.533333333333333,0.866666666666667,141.333333333333,202,345,2120,13,8,53,309,"Louisiana Tech",2016,5.13,76,33.5,234,9.75,4.56,NA,32,122,7.19,8,1,NA,7,1,11,NA,NA,42,607,1000,60.7,7437,7.4,7.2,50,28,134.1,177.071428571429,23.8095238095238,14.452380952381,1.19047619047619,0.666666666666667,1.25
"15",7,NA,NA,223,"MIA","Brandon Doughty","QB",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Kentucky",2016,5.11,75,32,213,9.125,5.22,NA,27,103,7.49,14,17,NA,17,17,15,NA,NA,43,1023,1491,68.6,12855,8.6,9.1,111,34,161,298.953488372093,34.6744186046512,23.7906976744186,2.58139534883721,0.790697674418605,NA
"16",1,1.6875,6.67203513909224,2,"CHI","Mitchell Trubisky","QB",23,2020,27,44,31.0454545454545,19.5909090909091,0.727272727272727,1.22727272727273,207.136363636364,862,1366,9114,54,32,165,949,"North Carolina",2017,6.7,74,32,222,9.5,4.67,NA,27.5,116,6.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
