"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"1",1,14,"OAK","Karl Joseph","S",22,2020,13,53,2016,5.75,70,32.125,205,9.75,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,41,"West Virginia",188,5,3,3.54716981132075,0.0566037735849057,0.0943396226415094,201,73,16,2,9,40,0,7,5,3,4.90243902439024,1.78048780487805,6.68292682926829,0.390243902439024,0.0487804878048781,0.170731707317073,0.0731707317073171,0.219512195121951,3.25
"2",1,17,"ATL","Keanu Neal","S",21,2020,13,38,2016,5.85,72,32.75,211,10.625,4.62,17,38,132,7.09,1,1,4,1,1,3,3,2,26,"Florida",185,1,NA,4.86842105263158,NA,0.0263157894736842,79,55,4.5,2,4,-5,0,5,1,2,3.03846153846154,2.11538461538462,5.15384615384615,0.173076923076923,0.0769230769230769,0.192307692307692,0.0769230769230769,0.153846153846154,3.25
"3",2,57,"IND","T.J. Green","S",21,2019,5,33,2016,5.41,74,32,209,9.625,4.34,13,35.5,129,NA,1,1,6,5,1,NA,NA,NA,31,"Clemson",65,NA,NA,1.96969696969697,NA,NA,84,34,5.5,1,1,-3,0,3,0,2,2.70967741935484,1.09677419354839,3.80645161290323,0.17741935483871,0.032258064516129,0.0967741935483871,0.0645161290322581,0.032258064516129,1.25
"4",2,61,"NOR","Vonn Bell","S",21,2020,15,66,2016,5.68,71,32.375,199,9.5,NA,16,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,36,"Ohio St.",269,1,8,4.07575757575758,0.121212121212121,0.0151515151515152,115,60,4,1,9,49,1,15,2,0,3.19444444444444,1.66666666666667,4.86111111111111,0.111111111111111,0.0277777777777778,0.416666666666667,0,0.25,3.75
"5",3,64,"TEN","Kevin Byard","S",23,2020,29,68,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Middle Tenn. St.",242,17,3,3.55882352941176,0.0441176470588235,0.25,196,122,6,0,19,377,4,15,1,3,5.44444444444444,3.38888888888889,8.83333333333333,0.166666666666667,0,0.416666666666667,0.0833333333333333,0.527777777777778,7.25
"6",3,71,"NYG","Darian Thompson","S",22,2020,9,48,2016,5.52,74,30.375,208,9.125,4.69,12,32.5,118,7.26,6,5,4,3,5,2,1,NA,46,"Boise St.",107,1,1.5,2.22916666666667,0.03125,0.0208333333333333,136,78,15,1,19,118,1,6,0,2,2.95652173913043,1.69565217391304,4.65217391304348,0.326086956521739,0.0217391304347826,0.130434782608696,0.0434782608695652,0.41304347826087,2.25
"7",3,98,"DEN","Justin Simmons","S",22,2020,25,62,2016,5.36,74,32.625,202,9.625,4.61,16,40,126,6.58,1,5,1,1,2,1,1,1,45,"Boston Col.",234,12,2,3.7741935483871,0.032258064516129,0.193548387096774,165,64,4,1,8,50,0,9,4,2,3.66666666666667,1.42222222222222,5.08888888888889,0.0888888888888889,0.0222222222222222,0.2,0.0444444444444444,0.177777777777778,6.25
"8",4,111,"DET","Miles Killebrew","S",23,2020,5,67,2016,5.67,74,32.125,217,9.5,4.65,22,38,127,6.93,4,2,1,1,2,1,1,1,NA,"Southern Utah",81,2,NA,1.2089552238806,NA,0.0298507462686567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
"9",4,124,"CHI","Deon Bush","S",23,2020,5,58,2016,5.27,72,30.875,199,9.25,4.64,17,36,123,NA,5,4,2,1,2,NA,NA,NA,44,"Miami (FL)",39,1,1,0.672413793103448,0.0172413793103448,0.0172413793103448,123,45,10,4,4,0,0,13,3,9,2.79545454545455,1.02272727272727,3.81818181818182,0.227272727272727,0.0909090909090909,0.295454545454545,0.204545454545455,0.0909090909090909,1.25
"10",4,129,"CLE","Derrick Kindred","S",22,2018,8,42,2016,5.11,70,31.25,207,9.375,4.5,NA,37.5,123,7.05,6,3,NA,2,3,4,7,NA,43,"TCU",108,2,NA,2.57142857142857,NA,0.0476190476190476,168,61,12,0,8,140,2,15,3,3,3.90697674418605,1.41860465116279,5.32558139534884,0.27906976744186,0,0.348837209302326,0.0697674418604651,0.186046511627907,2
"11",5,159,"HOU","K.J. Dillon","S",22,2016,0,5,2016,5.24,72,31.625,210,9.625,4.53,11,NA,121,NA,3,1,5,NA,3,NA,NA,NA,40,"West Virginia",4,NA,NA,0.8,NA,NA,119,40,17,0.5,5,60,1,20,1,1,2.975,1,3.975,0.425,0.0125,0.5,0.025,0.125,0
"12",5,167,"ARI","Marqui Christian","S",21,2020,4,56,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Midwestern St.",61,NA,NA,1.08928571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
