"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"1",2,35,"SDG","Hunter Henry","TE",21,2020,13,46,2016,6.5,77,32.75,250,9.25,NA,13,NA,NA,NA,14,NA,11,NA,NA,NA,NA,NA,35,0,0,158,1977,18,"Arkansas",NA,0,0,0,116,1661,9,3.43478260869565,42.9782608695652,0.391304347826087,0,0,0,12.5126582278481,14.3,NA,116,NA,9,1661,14.3,3.31428571428571,47.4571428571429,0.257142857142857,0,0,0,47.4571428571429,0.257142857142857,3.25
"2",3,81,"ATL","Austin Hooper","TE",21,2020,19,64,2016,5.75,76,33.75,254,10.625,4.72,19,33,117,7,1,3,4,6,6,5,7,7,24,0,0,231,2397,17,"Stanford",NA,0,0,0,74,937,8,3.609375,37.453125,0.265625,0,0,0,10.3766233766234,12.7,NA,74,NA,8,937,12.7,3.08333333333333,39.0416666666667,0.333333333333333,0,0,0,39.0416666666667,0.333333333333333,4.75
"3",3,94,"SEA","Nick Vannett","TE",23,2020,5,58,2016,5.7,78,34.25,257,10,NA,17,30.5,111,7.05,6,NA,8,8,10,7,2,2,37,0,0,63,592,4,"Ohio St.",NA,1,-1,0,55,585,6,1.08620689655172,10.2068965517241,0.0689655172413793,0,0,0,9.3968253968254,10.6,-1,56,NA,6,584,10.4,1.48648648648649,15.8108108108108,0.162162162162162,0.027027027027027,-0.027027027027027,0,15.7837837837838,0.162162162162162,1.25
"4",4,110,"LAR","Tyler Higbee","TE",23,2020,12,68,2016,5.64,78,33.25,249,10.25,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,31,0,0,144,1572,10,"Western Kentucky",NA,0,0,0,68,1054,14,2.11764705882353,23.1176470588235,0.147058823529412,0,0,0,10.9166666666667,15.5,NA,68,NA,14,1054,15.5,2.19354838709677,34,0.451612903225806,0,0,0,34,0.451612903225806,3
"5",4,138,"CLE","Seth Devalve","TE",23,2019,5,53,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,60,736,4,"Princeton",NA,NA,NA,NA,NA,NA,NA,1.13207547169811,13.8867924528302,0.0754716981132075,0,0,0,12.2666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
"6",6,177,"LAR","Temarrick Hemingway","TE",23,2020,0,14,2016,5,77,34,244,10,4.71,18,30.5,115,6.88,6,2,6,8,8,1,5,2,NA,0,0,1,10,0,"South Carolina St.",NA,NA,NA,NA,NA,NA,NA,0.0714285714285714,0.714285714285714,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7",6,184,"NYG","Jerell Adams","TE",23,2019,2,30,2016,5.35,77,34.375,247,9.75,4.64,NA,32.5,117,7.05,9,1,NA,7,6,7,5,4,37,0,0,24,214,1,"South Carolina",NA,0,0,0,66,977,7,0.8,7.13333333333333,0.0333333333333333,0,0,0,8.91666666666667,14.8,NA,66,NA,7,977,14.8,1.78378378378378,26.4054054054054,0.189189189189189,0,0,0,26.4054054054054,0.189189189189189,0.5
"8",6,188,"MIN","David Morgan","TE",23,2018,1,38,2016,5.17,76,33.625,262,10.5,5.02,29,30,115,6.93,2,9,1,10,8,3,1,5,24,0,0,16,135,1,"Texas-San Antonio",NA,0,0,0,72,890,6,0.421052631578947,3.55263157894737,0.0263157894736842,0,0,0,8.4375,12.4,NA,72,NA,6,890,12.4,3,37.0833333333333,0.25,0,0,0,37.0833333333333,0.25,0.25
"9",6,217,"DAL","Rico Gathers","TE",22,2018,0,15,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,45,0,"Baylor",NA,NA,NA,NA,NA,NA,NA,0.2,3,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10",7,231,"MIA","Thomas Duarte","TE",21,2016,0,1,2016,5.65,74,33,231,10,4.72,12,33.5,118,6.97,6,3,12,5,5,4,4,NA,33,0,0,0,0,0,"UCLA",NA,0,0,0,97,1626,17,0,0,0,0,0,0,NA,16.8,NA,97,NA,17,1626,16.8,2.93939393939394,49.2727272727273,0.515151515151515,0,0,0,49.2727272727273,0.515151515151515,0
