"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College/Univ","ValuePerYear"
"1",1,6,"BAL","Ronnie Stanley","T",22,2020,40,60,2016,6.7,78,35.625,312,10.625,5.2,NA,NA,NA,8.03,4,7,NA,NA,NA,11,13,NA,"Notre Dame",10
"2",1,8,"TEN","Jack Conklin","T",22,2020,34,61,2016,6.4,78,35,308,10.375,5,25,NA,103,7.63,8,3,5,NA,7,3,3,NA,"Michigan St.",8.5
"3",1,13,"MIA","Laremy Tunsil","T",22,2020,28,63,2016,7.72,77,34.25,310,10,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,"Mississippi",7
"4",1,16,"DET","Taylor Decker","T",23,2020,29,59,2016,5.88,79,33.75,310,10,5.23,20,NA,101,7.7,13,12,13,NA,13,4,8,NA,"Ohio St.",7.25
"5",2,48,"GNB","Jason Spriggs","T",22,2020,7,37,2016,5.54,78,34.125,301,10.125,4.94,31,NA,115,7.7,11,1,2,NA,1,4,1,NA,"Indiana",1.75
"6",3,76,"CLE","Shon Coleman","T",24,2017,6,23,2016,5.84,77,35.125,307,10.625,NA,22,NA,NA,NA,4,NA,10,NA,NA,NA,NA,NA,"Auburn",1.5
"7",3,82,"IND","Le'Raven Clark","T",23,2020,8,40,2016,6.05,77,36.125,316,11.875,5.16,18,NA,NA,NA,1,4,18,NA,NA,NA,NA,NA,"Texas Tech",2
"8",4,121,"MIN","Willie Beavers","T",22,2016,0,2,2016,5.48,76,33.5,324,9.5,5.28,20,NA,103,7.96,23,15,13,NA,7,10,6,NA,"West. Michigan",0
"9",4,123,"PIT","Jerald Hawkins","T",22,2020,1,8,2016,5.5,78,34.25,305,9.625,5.23,23,NA,100,8.19,20,12,7,NA,14,13,11,NA,"LSU",0.25
"10",4,130,"BAL","Alex Lewis","T",24,2020,12,40,2016,5.14,78,34,312,10,5.22,27,NA,100,7.94,13,9,4,NA,14,9,7,NA,"Nebraska",3
"11",5,145,"SFO","John Theus","T",22,2016,1,4,2016,5.1,78,34.5,313,10.125,5.22,NA,NA,103,7.9,11,9,NA,NA,7,8,9,NA,"Georgia",0.25
"12",5,148,"TAM","Caleb Benenoch","T",22,2019,12,35,2016,5.15,77,NA,305,NA,4.98,NA,NA,104,8.15,NA,2,NA,NA,5,12,18,NA,"UCLA",3
"13",5,155,"IND","Joe Haeg","T",23,2020,17,56,2016,5.29,78,33.75,304,9.625,5.16,NA,NA,111,7.47,20,4,NA,NA,4,2,2,NA,"North Dakota St.",4.25
"14",5,158,"NYJ","Brandon Shell","T",24,2020,16,54,2016,5.22,77,34.75,324,10.75,5.22,22,NA,112,NA,2,9,10,NA,3,NA,NA,NA,"South Carolina",4
"15",5,164,"PHI","Halapoulivaati Vaitai","T",23,2020,12,57,2016,4.76,78,34.25,320,10.625,5.26,23,NA,113,8.26,4,14,7,NA,2,15,16,NA,"TCU",3
"16",5,170,"ARI","Cole Toner","T",22,2018,0,3,2016,5,77,33.125,306,9.75,5.32,22,NA,103,7.88,18,16,10,NA,7,7,4,NA,"Harvard",0
"17",5,174,"SFO","Fahn Cooper","T",23,NA,NA,NA,2016,5.05,76,34.75,303,10,5.17,19,NA,102,7.85,13,6,15,NA,12,6,11,NA,"Mississippi",NA
"18",6,200,"GNB","Kyle Murphy","T",22,2017,2,6,2016,5.33,78,33.5,305,9.75,NA,23,NA,NA,NA,18,NA,7,NA,NA,NA,NA,NA,"Stanford",0.5
"19",1,20,"DEN","Garett Bolles","T",25,2020,22,52,2017,6.1,77,34,297,9.375,4.95,NA,28,115,7.29,NA,NA,NA,NA,NA,NA,NA,NA,"Utah",7.33333333333333
"20",1,32,"NOR","Ryan Ramczyk","T",23,2020,41,52,2017,6.2,78,33.75,310,10.875,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wisconsin",13.6666666666667
"21",2,34,"JAX","Cam Robinson","T",21,2020,17,36,2017,6.16,78,35.5,322,10.5,5.15,NA,26,106,7.81,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama",5.66666666666667
"22",3,85,"NWE","Antonio Garcia","T",23,NA,NA,NA,2017,5.75,78,33.375,302,9.875,5.15,24,31,108,7.98,NA,NA,NA,NA,NA,NA,NA,NA,"Troy",NA
"23",4,129,"OAK","David Sharpe","T",21,2020,3,25,2017,5.49,78,35.375,343,10,5.44,19,20.5,97,7.87,NA,NA,NA,NA,NA,NA,NA,NA,"Florida",1
"24",4,130,"HOU","Julie'n Davenport","T",22,2020,14,40,2017,5.26,79,36.5,318,10.5,5.45,18,27,106,7.57,NA,NA,NA,NA,NA,NA,NA,NA,"Bucknell",4.66666666666667
"25",4,137,"IND","Zach Banner","T",23,2020,1,23,2017,5.72,80,34.875,353,10.75,5.58,22,23.5,92,8.31,NA,NA,NA,NA,NA,NA,NA,NA,"USC",0.333333333333333
"26",5,157,"ARI","Will Holden","T",23,2018,3,11,2017,5.53,79,33.25,311,10.125,5.47,23,28,111,7.71,NA,NA,NA,NA,NA,NA,NA,NA,"Vanderbilt",1
"27",5,160,"CLE","Roderick Johnson","T",21,2020,3,20,2017,5.62,79,36,298,10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida St.",1
"28",6,190,"LAC","Sam Tevi","T",22,2020,18,49,2017,4.9,77,34,311,10.125,5.27,15,26,107,7.84,NA,NA,NA,NA,NA,NA,NA,NA,"Utah",6
"29",6,200,"NYG","Adam Bisnowaty","T",23,2017,0,1,2017,5.5,78,33.875,304,11.375,5.23,23,29.5,96,8.02,NA,NA,NA,NA,NA,NA,NA,NA,"Pittsburgh",0
"30",6,210,"SEA","Justin Senior","T",23,NA,NA,NA,2017,5.21,77,34,331,10.25,5.55,NA,23,98,8.19,NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi St.",NA
"31",6,211,"NWE","Conor McDermott","T",24,2020,1,20,2017,5.07,80,34.75,307,11,5.18,NA,28.5,105,7.52,NA,NA,NA,NA,NA,NA,NA,NA,"UCLA",0.333333333333333
"32",7,231,"OAK","Jylan Ware","T",23,2017,0,1,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama St.",0
