"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"1",1,15,"CLE","Corey Coleman","WR",22,2018,6,27,2016,6.1,71,30.25,194,9,NA,17,40.5,129,NA,37,NA,5,3,4,NA,NA,NA,34,3,15,61,789,5,"Baylor",5,2.25925925925926,29.2222222222222,0.185185185185185,0.111111111111111,0.555555555555556,0,33,164,1,173,3009,33,12.9344262295082,17.4,5,206,NA,34,3173,15.4,5.08823529411765,88.5,0.970588235294118,0.970588235294118,4.82352941176471,0.0294117647058824,93.3235294117647,1,1.5
"2",1,21,"HOU","Will Fuller","WR",22,2020,18,47,2016,6.13,72,30.75,186,8.25,4.32,10,33.5,126,6.93,41,1,32,24,9,12,16,8,NA,4,6,178,2563,19,"Notre Dame",1.5,3.78723404255319,54.531914893617,0.404255319148936,0.0851063829787234,0.127659574468085,0,NA,NA,NA,NA,NA,NA,14.3988764044944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5
"3",1,22,"WAS","Josh Doctson","WR",23,2019,9,34,2016,5.83,74,31.875,202,9.875,4.5,14,41,131,6.84,10,11,14,1,2,9,3,3,45,1,-14,81,1100,8,"TCU",-14,2.38235294117647,32.3529411764706,0.235294117647059,0.0294117647058824,-0.411764705882353,0,2,7,0,214,3177,34,13.5802469135802,14.8,3.5,216,NA,34,3184,14.7,4.75555555555556,70.6,0.755555555555556,0.0444444444444444,0.155555555555556,0,70.7555555555556,0.755555555555556,2.25
"4",1,23,"MIN","Laquon Treadwell","WR",21,2019,6,53,2016,6.25,74,33.375,221,9.5,NA,12,33,117,NA,18,NA,22,28,27,NA,NA,NA,35,0,0,65,701,2,"Mississippi",NA,1.22641509433962,13.2264150943396,0.0377358490566038,0,0,0,6,-10,0,202,2393,21,10.7846153846154,11.8,-1.7,208,NA,21,2383,11.5,5.77142857142857,68.3714285714286,0.6,0.171428571428571,-0.285714285714286,0,68.0857142857143,0.6,1.5
"5",2,40,"NYG","Sterling Shepard","WR",23,2020,21,55,2016,5.77,70,30.375,194,9.75,4.48,20,41,123,7,12,9,1,1,13,17,23,NA,49,17,146,255,2938,17,"Oklahoma",8.58823529411765,4.63636363636364,53.4181818181818,0.309090909090909,0.309090909090909,2.65454545454545,0,17,109,1,233,3482,26,11.521568627451,14.9,6.4,250,NA,27,3591,14.4,4.75510204081633,71.0612244897959,0.530612244897959,0.346938775510204,2.22448979591837,0.0204081632653061,73.2857142857143,0.551020408163265,5.25
"6",2,47,"NOR","Michael Thomas","WR",23,2020,54,64,2016,5.87,75,32.125,212,10.5,4.57,18,35,126,6.8,2,21,3,15,9,7,4,14,39,1,-9,473,5529,32,"Ohio St.",-9,7.390625,86.390625,0.5,0.015625,-0.140625,0,0,0,0,113,1602,18,11.6892177589852,14.2,NA,113,NA,18,1602,14.2,2.8974358974359,41.0769230769231,0.461538461538462,0,0,0,41.0769230769231,0.461538461538462,13.5
"7",2,47,"NOR","Michael Thomas","WR",23,2020,54,64,2016,5.87,75,32.125,212,10.5,4.57,18,35,126,6.8,2,21,3,15,9,7,4,14,25,1,-9,473,5529,32,"Ohio St.",-9,7.390625,86.390625,0.5,0.015625,-0.140625,0,0,0,0,112,1983,19,11.6892177589852,17.7,NA,112,NA,19,1983,17.7,4.48,79.32,0.76,0,0,0,79.32,0.76,13.5
"8",2,55,"CIN","Tyler Boyd","WR",21,2020,22,61,2016,5.9,73,32,197,9.75,4.58,11,34,119,6.9,12,24,29,23,25,10,23,NA,38,11,88,274,3264,16,"Pittsburgh",8,4.49180327868852,53.5081967213115,0.262295081967213,0.180327868852459,1.44262295081967,0,63,520,1,254,3361,21,11.9124087591241,13.2,8.3,317,NA,22,3881,12.2,6.68421052631579,88.4473684210526,0.552631578947368,1.65789473684211,13.6842105263158,0.0263157894736842,102.131578947368,0.578947368421053,5.5
"9",3,85,"HOU","Braxton Miller","WR",23,2017,2,21,2016,5.61,73,31.75,201,9.125,4.5,17,35,123,6.65,34,11,5,15,13,3,1,1,49,4,1,34,261,2,"Ohio St.",0.25,1.61904761904762,12.4285714285714,0.0952380952380952,0.19047619047619,0.0476190476190476,0,NA,NA,NA,NA,NA,NA,7.67647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"10",3,86,"MIA","Leonte Carroo","WR",22,2018,2,37,2016,5.34,72,31.375,211,9.625,4.5,14,35.5,120,NA,16,11,14,11,24,NA,NA,NA,30,1,14,12,192,2,"Rutgers",14,0.324324324324324,5.18918918918919,0.0540540540540541,0.027027027027027,0.378378378378378,0,0,0,0,122,2373,29,16,19.5,NA,122,NA,29,2373,19.5,4.06666666666667,79.1,0.966666666666667,0,0,0,79.1,0.966666666666667,0.5
