,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
,1,1,LAR,Jared Goff\GoffJa00,QB,21,2020,0,2,3,41,41,59,1275,2021,15591,95,45,131,244,8,0,0,0,,,,California,College Stats
,1,2,PHI,Carson Wentz\WentCa00,QB,23,2020,0,1,4,42,42,61,1428,2250,15379,103,44,229,907,6,2,11,0,,,,North Dakota St.,College Stats
,1,3,SDG,Joey Bosa\BosaJo00,DE,21,2020,0,2,4,32,32,56,0,0,0,0,0,0,0,0,0,0,0,159,,44.0,Ohio St.,College Stats
,1,4,DAL,Ezekiel Elliott\ElliEz00,RB,21,2020,1,3,4,49,49,61,0,0,0,0,0,1258,5769,45,213,1792,9,,,,Ohio St.,College Stats
,1,5,JAX,Jalen Ramsey\RamsJa00,CB,21,2020,1,3,4,37,32,65,0,0,0,0,0,0,0,0,0,0,0,225,10,,Florida St.,College Stats
,1,6,BAL,Ronnie Stanley\StanRo00,T,22,2020,1,1,4,40,40,60,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
,1,7,SFO,DeForest Buckner\BuckDe00,DE,22,2020,0,1,4,37,37,68,0,0,0,0,0,0,0,0,0,0,0,179,,30.0,Oregon,College Stats
,1,8,TEN,Jack Conklin\ConkJa00,T,22,2020,1,0,4,34,34,61,0,0,0,0,0,0,0,0,0,0,0,1,,,Michigan St.,College Stats
,1,9,CHI,Leonard Floyd\FloyLe00,OLB,23,2020,0,0,4,27,27,59,0,0,0,0,0,0,0,0,0,0,0,115,1,20.5,Georgia,College Stats
,1,10,NYG,Eli Apple\ApplEl00,CB,21,2020,0,0,3,16,8,56,0,0,0,0,0,0,0,0,0,0,0,197,3,,Ohio St.,College Stats
,1,11,TAM,Vernon Hargreaves III\HargVe00,CB,21,2020,0,0,3,13,12,46,0,0,0,0,0,0,0,0,0,0,0,179,2,,Florida,College Stats
,1,12,NOR,Sheldon Rankins\RankSh00,DT,22,2020,0,0,2,15,15,56,0,0,0,0,0,0,0,0,0,0,0,69,1,17.0,Louisville,College Stats
,1,13,MIA,Laremy Tunsil\TunsLa00,T,22,2020,0,1,4,28,17,63,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,College Stats
,1,14,OAK,Karl Joseph\JoseKa00,S,22,2020,0,0,3,13,13,53,0,0,0,0,0,0,0,0,0,0,0,188,5,3.0,West Virginia,College Stats
,1,15,CLE,Corey Coleman\ColeCo00,WR,22,2018,0,0,2,6,5,27,0,0,0,0,0,3,15,0,61,789,5,,,,Baylor,College Stats
,1,16,DET,Taylor Decker\DeckTa00,T,23,2020,0,0,4,29,29,59,0,0,0,0,0,0,0,0,1,11,1,,,,Ohio St.,College Stats
,1,17,ATL,Keanu Neal\NealKe01,S,21,2020,0,1,2,13,13,38,0,0,0,0,0,0,0,0,0,0,0,185,1,,Florida,College Stats
,1,18,IND,Ryan Kelly\KellRy00,C,23,2020,0,1,4,26,26,56,0,0,0,0,0,0,0,0,1,-4,0,,,,Alabama,College Stats
,1,19,BUF,Shaq Lawson\LawsSh00,DE,22,2020,0,0,1,11,11,54,0,0,0,0,0,0,0,0,0,0,0,66,,17.5,Clemson,College Stats
,1,20,NYJ,Darron Lee\LeexDa00,OLB,21,2019,0,0,3,20,18,56,0,0,0,0,0,0,0,0,0,0,0,177,3,4.0,Ohio St.,College Stats
,1,21,HOU,Will Fuller\FullWi01,WR,22,2020,0,0,4,18,18,47,0,0,0,0,0,4,6,0,178,2563,19,,,,Notre Dame,College Stats
,1,22,WAS,Josh Doctson\DoctJo00,WR,23,2019,0,0,2,9,9,34,0,0,0,0,0,1,-14,0,81,1100,8,,,,TCU,College Stats
